campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_timer,is_emoticons,is_discount,is_price,is_urgency,target_audience,click_rate
1,3,76,10439,39,5,1,Noon,6,26,3,29,0,0,0,0,0,0,0,0,14,0.10307898259705488
2,3,54,2570,256,5,1,Morning,2,11,0,22,0,0,0,0,0,0,0,0,10,0.7
3,3,59,12801,16,5,1,Noon,2,11,3,23,1,0,1,0,0,0,0,0,16,0.0027689087319987806
4,3,74,11037,30,4,0,Evening,15,9,4,24,0,0,0,0,0,0,0,0,10,0.010867763266960158
5,3,80,10011,27,5,1,Noon,6,26,3,31,0,0,1,0,0,0,0,0,14,0.14282622808915818
6,3,54,2569,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.5
7,3,54,2570,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.4571428571428571
8,3,60,12117,17,4,0,Noon,6,26,4,34,1,0,1,0,0,0,0,0,14,0.16699801192842942
9,3,89,10055,14,4,0,Noon,6,26,3,34,1,0,0,0,0,0,0,0,13,0.029233105542900525
10,3,89,11049,26,3,0,Evening,15,9,4,28,0,0,0,0,0,0,0,0,6,0.003057666517657577
11,3,77,7552,36,3,0,Noon,6,26,2,35,2,0,0,0,0,0,0,0,14,0.11759956942949408
12,3,78,10473,26,3,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.2256267409470752
13,3,82,9587,33,2,0,Evening,15,9,2,27,1,0,0,0,0,0,0,0,15,0.006463427771194657
14,3,86,14787,19,2,0,Evening,2,11,9,29,1,0,1,0,0,0,0,0,16,0.006676828258060241
15,3,91,9407,32,2,0,Noon,6,26,8,17,2,0,1,0,0,0,0,0,16,0.014610009695429775
16,3,78,10473,26,2,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.20634920634920634
17,3,78,9020,29,2,0,Noon,6,26,2,40,0,0,0,0,0,0,0,0,14,0.13363807475127726
18,3,83,9400,27,1,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,16,0.009666958673367452
19,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,12,0.005417956656346749
20,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,15,0.0030313236780060626
21,3,78,10473,26,0,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.19811320754716985
22,3,57,7768,22,5,1,Noon,2,11,0,26,0,0,0,0,0,0,0,0,14,0.4052044609665427
23,3,70,8683,44,4,0,Evening,15,9,2,28,1,0,0,0,0,0,0,0,0,0.0012613419050331609
24,3,69,9455,27,5,1,Noon,2,11,2,22,1,0,0,0,2,0,0,0,14,0.016901637346117906
25,3,78,10473,26,4,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.18979591836734694
26,3,93,9400,27,0,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,4,0.01371860965501307
27,3,42,6802,46,3,0,Evening,6,10,3,15,0,0,0,0,0,0,0,0,14,0.00648202710665881
28,3,60,9206,51,2,0,Noon,2,11,6,41,0,0,1,0,0,0,0,0,10,0.004034830077284796
29,3,85,9840,22,3,0,Evening,6,26,5,31,0,0,0,0,0,0,0,0,11,0.0030511725220120304
30,3,80,11655,22,0,0,Evening,2,11,5,35,0,0,1,0,0,0,0,0,16,0.006155578857431357
31,3,104,9882,48,0,0,Evening,15,9,2,34,1,0,0,0,0,0,0,0,16,0.005769001007014969
32,3,86,13407,24,5,1,Noon,2,11,5,22,2,0,0,0,0,0,0,0,10,0.06641366223908918
33,3,124,11455,27,4,0,Evening,15,9,3,47,0,0,0,0,0,0,5499,0,12,0.0067531196476633215
34,3,80,11655,22,4,0,Evening,2,11,5,35,0,0,1,0,0,0,0,0,16,0.006081108292054287
35,3,81,9767,20,4,0,Noon,6,26,5,31,0,0,0,0,0,0,0,0,4,0.010077177821680857
36,3,76,11147,34,3,0,Evening,2,11,4,25,1,0,0,0,0,0,0,0,11,0.006314611065437562
37,3,76,11147,34,2,0,Evening,2,11,4,25,1,0,0,0,0,0,0,0,1,0.0066144605793355135
38,3,80,12527,37,2,0,Evening,15,9,4,33,1,0,0,0,0,0,0,0,16,0.003958371562639264
39,3,77,12527,37,1,0,Evening,15,9,4,33,1,0,0,0,0,0,0,0,12,0.005829044363032289
40,3,81,9758,20,2,0,Noon,6,26,4,28,0,0,0,0,0,0,0,0,5,0.008201149143053577
41,3,76,11147,34,1,0,Evening,2,11,5,25,0,0,0,0,0,0,0,0,10,0.005517146017699114
42,3,88,9054,46,0,0,Evening,15,9,3,28,1,0,0,0,0,0,0,0,10,0.006985480330913388
43,3,73,10273,32,4,0,Evening,15,9,3,23,0,0,1,0,0,0,0,0,16,0.003426339833963747
44,3,65,11613,25,4,0,Evening,2,11,4,38,2,0,2,0,0,0,0,0,16,0.004839256542243319
45,3,87,14431,35,3,0,Evening,15,9,5,23,0,0,0,0,0,0,0,0,16,0.006365444728616085
46,3,73,11486,42,2,0,Noon,2,11,4,27,2,0,1,0,0,0,0,0,7,0.003297136508619145
47,3,97,10492,39,1,0,Evening,15,9,3,25,1,0,2,0,0,0,0,0,0,0.0067423121197171506
48,3,57,6916,50,1,0,Noon,6,10,3,24,2,0,0,0,0,0,0,0,14,0.014862981885740829
49,3,73,11486,42,1,0,Noon,2,11,4,27,2,0,1,0,0,0,0,0,10,0.00631578947368421
50,3,85,9717,30,4,0,Evening,15,9,2,23,0,0,0,0,2,0,0,0,16,0.0033720314080639717
51,3,91,15400,18,3,0,Evening,15,9,6,26,1,0,0,0,0,0,0,0,16,0.012816214000968669
52,3,97,10492,39,2,0,Evening,15,9,3,25,1,0,2,0,0,0,0,0,10,0.008534311091443562
53,3,104,9183,32,1,0,Evening,15,9,3,27,0,0,0,0,0,0,0,0,10,0.004736024844720497
54,3,90,6759,41,1,0,Evening,1,5,0,22,2,0,0,0,0,0,0,0,10,0.014538310412573675
55,3,78,21927,13,0,0,Evening,15,13,9,28,2,0,0,0,0,0,0,1,12,0.003741794778592658
56,3,103,20312,17,5,1,Noon,15,13,5,24,1,0,1,0,0,0,0,1,12,0.004075319035012047
57,3,85,9717,30,5,1,Noon,15,9,2,23,0,0,0,0,2,0,0,0,16,0.0
58,3,91,11179,32,4,0,Evening,15,9,2,25,1,0,1,0,1,0,0,0,16,0.009869857629487291
59,3,79,5805,88,4,0,Evening,15,12,3,20,1,0,0,0,0,0,0,0,2,0.0013711151736745884
60,3,82,5690,86,4,0,Evening,15,6,3,23,0,0,1,0,0,0,0,0,2,0.0013454820130299311
61,3,79,6810,45,4,0,Noon,1,5,0,23,2,0,0,0,0,0,0,0,10,0.009291144175167305
62,3,79,6812,44,4,0,Noon,1,5,0,23,2,0,0,0,0,0,0,0,3,0.00913174755136608
63,3,80,5769,88,4,0,Evening,15,1,3,20,1,0,0,0,0,0,0,0,2,0.0017468051852532868
64,3,67,5700,81,4,0,Evening,15,31,3,26,1,0,0,0,0,0,0,0,2,0.004486499714495473
65,3,92,16393,23,3,0,Evening,1,5,3,19,2,0,1,0,0,0,0,0,16,0.001307384591335735
66,3,92,16399,23,2,0,Evening,1,5,2,24,2,0,1,0,0,0,0,0,3,0.008838734782367002
67,3,92,16399,23,2,0,Evening,1,5,2,24,2,0,1,0,0,0,0,0,10,0.0069826177388203825
68,3,87,22813,18,2,0,Evening,15,13,11,29,2,0,1,0,1,0,0,0,15,0.00265065986003394
69,3,98,21569,20,1,0,Evening,15,13,11,29,2,0,0,0,1,1,0,0,16,0.0
70,3,25,1951,160,1,0,Evening,7,27,0,12,1,0,0,0,0,0,0,0,12,0.06718346253229975
71,3,74,9602,23,1,0,Evening,1,5,3,22,0,0,1,0,0,0,0,1,14,0.03524804177545692
72,3,100,10176,32,0,0,Evening,1,5,1,21,2,0,1,0,0,0,0,0,10,0.011228354978354978
73,3,98,21569,20,1,0,Noon,15,13,11,29,2,0,0,0,1,1,0,0,12,0.004781240239302275
74,10,90,20720,18,5,1,Noon,1,5,8,34,0,0,0,0,0,0,0,0,16,0.0034188034188034192
75,3,87,11237,22,4,0,Evening,15,9,4,38,0,0,0,0,0,0,5499,1,12,0.006140112379916621
76,3,90,11975,25,4,0,Evening,1,5,2,21,2,0,1,0,0,0,0,0,16,0.0016270177926017177
77,3,92,19214,21,3,0,Evening,15,9,3,29,1,0,1,0,0,0,0,1,12,0.0014063062958357062
78,3,88,12588,30,3,0,Evening,1,5,12,34,0,0,0,0,0,0,0,0,10,0.002067889664179556
79,3,94,13412,38,2,0,Evening,15,9,3,32,0,0,0,0,0,0,0,1,16,0.006236346085454453
80,3,116,10644,43,1,0,Evening,15,9,3,27,0,0,0,0,1,0,0,0,15,0.0037013801756587204
81,3,63,9599,23,1,0,Evening,1,5,3,22,0,0,1,0,0,0,0,1,14,0.052700922266139656
82,3,83,7847,25,2,0,Evening,1,5,0,31,0,0,1,0,0,0,0,0,12,0.1921397379912664
83,3,110,10593,42,0,0,Evening,15,9,3,27,0,0,0,0,1,0,0,0,16,0.005396252554881856
84,3,83,15098,16,0,0,Evening,1,5,6,31,2,0,0,0,1,0,0,0,10,0.004677044446009721
85,3,40,1645,111,0,0,Morning,6,10,1,13,0,0,0,0,1,0,0,0,14,0.031654981941788826
86,3,68,9604,23,5,1,Morning,1,5,3,22,0,0,1,0,0,0,0,1,14,0.04984423676012461
87,3,88,12588,30,5,1,Morning,1,5,11,32,0,0,0,0,0,0,0,0,10,0.010536469540698968
88,3,88,12588,30,5,1,Noon,1,5,12,34,0,0,0,0,0,0,0,0,16,0.0035759582863585117
89,3,85,8424,18,6,1,Evening,1,5,3,23,2,0,1,0,0,0,0,1,14,0.21343377275580666
